company_id,year,implied_asset_turnover
BEL,2013-03,139.4
BEL,2014-03,141.69565217391303
BEL,2015-03,144.75510204081633
BEL,2016-03,141.42307692307693
BEL,2017-03,112.41558441558442
BEL,2018-03,85.95867768595042
BEL,2019-03,96.53968253968254
BEL,2020-03,106.29508196721312
BEL,2021-03,92.82236842105263
BEL,2022-03,94.28220858895706
BEL,2023-03,123.15277777777777
BEL,2024-03,125.88819875776397
HAL,2016-03,95.2159090909091
HAL,2017-03,105.58823529411765
HAL,2018-03,111.56024096385542
HAL,2019-03,114.33142857142857
HAL,2020-03,123.95953757225433
HAL,2021-03,123.02150537634408
HAL,2022-03,121.88118811881188
HAL,2023-03,99.36531365313652
HAL,2024-03,67.51333333333334
LT,2013-03,31.969931271477662
LT,2014-03,31.903225806451612
LT,2015-03,30.869375419744795
LT,2016-03,32.23525661459993
LT,2017-03,24.748019017432647
LT,2018-03,22.42514521266629
LT,2019-03,20.29111644657863
INDIGO,2013-03,353.96153846153845
INDIGO,2014-03,317.62857142857143
INDIGO,2015-03,228.27868852459017
INDIGO,2016-03,82.34693877551021
INDIGO,2017-03,75.52845528455285
INDIGO,2018-03,82.51254480286738
INDIGO,2019-03,76.39946380697052
INDIGO,2020-03,84.72985781990522
INDIGO,2022-03,28.18586956521739
INDIGO,2023-03,51.26741996233522
INDIGO,2024-03,56.38625204582652
